,Code INSEE,Annee,Nb ventes,Commune,Valeur fonciere,Surface reelle bati,Surface terrain,Surface Carrez,Prix au m2 mode,Prix au m2 moyen,Prix ref
0,1001,2021,14,L'ABERGEMENT-CLEMENCIAT,4264290.0,1652.0,14042.0,0.0,2539.9321108622617,2581.2893462469733,2500.0
1,1001,2022,13,L'ABERGEMENT-CLEMENCIAT,4433962.0,1628.0,14607.0,0.0,2812.5,2723.563882063882,2500.0
2,1001,2023,11,L'ABERGEMENT-CLEMENCIAT,3110000.0,1371.0,9866.0,0.0,2307.692307692308,2268.4172137126184,2500.0
3,1001,2024,4,L'ABERGEMENT-CLEMENCIAT,1104600.0,409.0,2686.0,0.0,2912.3502623502627,2700.7334963325184,2500.0
4,1001,2025,5,L'ABERGEMENT-CLEMENCIAT,1359360.0,452.0,4307.0,0.0,3152.1739130434785,3007.433628318584,2500.0
5,1002,2021,7,ABERGEMENT-DE-VAREY (L ),2291300.0,810.0,4546.0,0.0,3600.0,2828.7654320987654,2000.0
6,1002,2022,3,ABERGEMENT-DE-VAREY (L ),992900.0,406.0,1433.0,0.0,2359.223300970874,2445.5665024630543,2000.0
7,1002,2023,4,ABERGEMENT-DE-VAREY (L ),578700.0,345.0,677.0,30.12,1913.1141439205956,1677.391304347826,2000.0
8,1002,2024,2,ABERGEMENT-DE-VAREY (L ),535000.0,281.0,782.0,0.0,1941.5584415584417,1903.914590747331,2000.0
9,1002,2025,3,ABERGEMENT-DE-VAREY (L ),575870.0,625.0,2403.0,0.0,824.2894056847546,921.392,2000.0
10,1004,2021,304,AMBERIEU-EN-BUGEY,60300734.65,25825.0,68823.0,6025.93,2198.0229134249316,2334.9752042594387,2360.5124394654517
11,1004,2022,269,AMBERIEU-EN-BUGEY,57833184.74,22265.0,57253.0,5420.82,2522.027450880082,2597.4931390074107,2360.5124394654517
12,1004,2023,212,AMBERIEU-EN-BUGEY,44108963.12,18089.0,53070.0,4169.1900000000005,2459.458579302459,2438.441213997457,2360.5124394654517
13,1004,2024,158,AMBERIEU-EN-BUGEY,30926605.3,12969.0,35822.0,3476.84,2273.2422411362268,2384.656126146966,2360.5124394654517
14,1004,2025,71,AMBERIEU-EN-BUGEY,15913366.0,6604.0,18954.0,1775.41,2486.4864864864867,2409.6556632344036,2360.5124394654517
15,1005,2021,25,AMBERIEUX-EN-DOMBES,8411627.0,2656.0,33141.0,311.31,3247.029411764706,3167.028237951807,2894.41590321136
16,1005,2022,43,AMBERIEUX-EN-DOMBES,14676860.0,4856.0,19711.0,433.66999999999996,3018.292682926829,3022.4176276771004,2894.41590321136
17,1005,2023,31,AMBERIEUX-EN-DOMBES,9895093.3,3263.0,23203.0,648.69,3170.731707317073,3032.5140361630406,2894.41590321136
18,1005,2024,52,AMBERIEUX-EN-DOMBES,12928222.0,4698.0,19419.0,1573.02,2784.244871794872,2751.856534695615,2894.41590321136
19,1005,2025,7,AMBERIEUX-EN-DOMBES,1910582.3,676.0,4902.0,0.0,2878.787878787879,2826.305177514793,2894.41590321136
20,1006,2021,6,AMBLEON,997800.0,627.0,2100.0,156.56,1550.7473481195757,1591.3875598086124,1820.0
21,1006,2022,1,AMBLEON,135000.0,95.0,475.0,0.0,1421.0526315789473,1421.0526315789473,1820.0
22,1006,2025,4,AMBLEON,1000000.0,526.0,4707.0,0.0,1908.5592769803302,1901.1406844106464,1820.0
23,1007,2021,33,AMBRONAY,7721660.0,3313.0,33264.0,137.77,2536.864406779661,2330.715363718684,2419.3548387096776
24,1007,2022,45,AMBRONAY,10458820.0,4722.0,18965.0,57.61,2432.4324324324325,2214.9131723845826,2419.3548387096776
25,1007,2023,43,AMBRONAY,9780402.16,4585.0,24755.0,45.51,2588.235294117647,2133.130242093784,2419.3548387096776
26,1007,2024,26,AMBRONAY,5843560.0,2495.0,13484.0,0.0,2509.5419847328244,2342.108216432866,2419.3548387096776
27,1007,2025,18,AMBRONAY,4643200.0,2093.0,17018.0,0.0,2202.0202020202023,2218.4424271380794,2419.3548387096776
28,1008,2021,12,AMBUTRIX,2576320.0,1079.0,4558.0,0.0,2615.353037766831,2387.6923076923076,2346.938775510204
29,1008,2022,7,AMBUTRIX,1660500.0,736.0,3533.0,0.0,2329.5454545454545,2256.1141304347825,2346.938775510204
30,1008,2023,5,AMBUTRIX,912750.0,362.0,848.0,0.0,2625.0,2521.4088397790056,2346.938775510204
31,1008,2024,13,AMBUTRIX,2870000.0,1275.0,5687.0,0.0,1917.8082191780825,2250.9803921568628,2346.938775510204
32,1008,2025,2,AMBUTRIX,510000.0,271.0,1380.0,0.0,1886.2594169669178,1881.918819188192,2346.938775510204
33,1009,2021,3,ANDERT-CONDON,392000.0,283.0,261.0,154.9,1315.7894736842106,1385.1590106007068,1888.888888888889
34,1009,2022,7,ANDERT-CONDON,1906000.0,772.0,6023.0,0.0,2588.652482269504,2468.9119170984454,1888.888888888889
35,1009,2023,8,ANDERT-CONDON,2038000.0,974.0,5378.0,80.39,2218.0451127819547,2092.4024640657085,1888.888888888889
36,1009,2024,10,ANDERT-CONDON,2078600.0,1221.0,5681.0,0.0,1692.1076436001808,1702.3751023751024,1888.888888888889
37,1009,2025,1,ANDERT-CONDON,280000.0,113.0,964.0,0.0,2477.8761061946902,2477.8761061946902,1888.888888888889
38,1010,2021,20,ANGLEFORT,4093335.0,2115.0,9937.0,108.43,2061.40350877193,1935.3829787234042,2312.735849056604
39,1010,2022,12,ANGLEFORT,2806672.0,1669.0,8337.0,0.0,2082.2646103896104,1681.6488915518275,2312.735849056604
40,1010,2023,34,ANGLEFORT,6419984.0,2713.0,11520.0,328.35,2832.679738562091,2366.3781791374863,2312.735849056604
41,1010,2024,12,ANGLEFORT,2675595.0,1141.0,5278.0,0.0,2409.59595959596,2344.9561787905345,2312.735849056604
42,1010,2025,6,ANGLEFORT,1308000.0,511.0,1251.0,138.38,2716.8021680216807,2559.6868884540118,2312.735849056604
43,1011,2021,4,APREMONT,808300.0,428.0,3687.0,0.0,1864.4758064516132,1888.5514018691588,2788.4615384615386
44,1011,2022,9,APREMONT,1664000.0,586.0,777.0,124.77000000000001,3892.857142857143,2839.590443686007,2788.4615384615386
45,1011,2023,6,APREMONT,1109000.0,514.0,3803.0,0.0,2794.2307692307695,2157.5875486381324,2788.4615384615386
46,1011,2024,2,APREMONT,444000.0,237.0,147.0,0.0,2058.3320498998924,1873.4177215189873,2788.4615384615386
47,1012,2021,18,ARANC,2881312.0,1907.0,34129.0,0.0,1526.086956521739,1510.9134766649188,1462.5
48,1012,2022,2,ARANC,257000.0,165.0,915.0,0.0,1559.9647266313934,1557.5757575757575,1462.5
